"","X","Name","Author","Date.Available","Description","Top.Country","Citation","Views","filename","sizeMB","Type","Repository"
"1",1,"Birth weight associations with DNA methylation differences in an adult population","Data Madden, Rebecca AMcCartney, Daniel LHillary, Robert FBermingham, Mairead LRawlik, KonradMorris, Stewart WCampbell, ArchiePorteous, David JDeary, Ian JEvans, Kathryn LHafferty, JonathanMcIntosh, Andrew MMarioni, Riccardo E","2020-10-20","The Developmental Origins Health and Disease (DOHaD) theory predicts that prenatal and early life events shape adult health outcomes. Birth weight is a useful indicator of the foetal experience, and has been associated with multiple adult health outcomes. DNA methylation (DNAm) is one plausible mechanism behind the relationship of birth weight to adult health. Through data linkage between Generation Scotland and historic Scottish birth cohorts, and birth records held through the NHS Information and Statistics Division, a sample of 1,757 individuals with available birth weight and DNAm data was derived. Epigenome-wide association studies (EWAS) were performed in two independently generated DNAm subgroups (nSet 1=1, 395, nSet2=362), relating adult DNAm from whole blood to birth weight. Meta-analysis yielded one genome-wide significant CpG site (p=5.97x10-9), cg00966482. There was minimal evidence for attenuation of the effect sizes for the lead loci upon adjustment for numerous potential confounder variables (body mass index, educational attainment, and socioeconomic status). Associations between birth weight and epigenetic measures of biological age were also assessed. Associations between lower birth weight and higher Grim Age acceleration (p(FDR)=0.0036) and shorter DNAm-derived telomere length (p(FDR)=0.0017) are described, although results for three other epigenetic clocks were null. Our results provide support for an association between birth weight and DNAm both locally at individual CpG sites and globally via biological ageing estimates.","United States","Madden, Rebecca A; McCartney, Daniel L; Hillary, Robert F; Bermingham, Mairead L; Rawlik, Konrad; Morris, Stewart W; Campbell, Archie; Porteous, David J; Deary, Ian J; Evans, Kathryn L; Hafferty, Jonathan; McIntosh, Andrew M; Marioni, Riccardo E. (2020). Birth weight associations with DNA methylation differences in an adult population, [dataset]. University of Edinburgh. https://doi.org/10.7488/ds/2876.",539,"readme.txt; BirthweightEWASsummarystatisticsGenScotSet2; BirthweightEWASmeta-analysissummarystatistics; BirthweightEWASsummarystatisticsGenScotSet1; GS_Meta_Sensitivity_SIMDadj_DataShare_Summstats.txt; GS_Meta_Sensitivity_Educadj_DataShare_Summstats.txt; GS_Meta_Sensitivity_BMIadj_DataShare_Summstats.txt; GS_Meta_Sensitivity_BMI_Educ_SIMDadj_DataShare_Summstats.txt; license_text","1.175; 60.6; 26.47; 63.37; 26.47; 26.47; 26.48; 26.48; 17","dataset","Edinburgh Datashare"
"2",2,"Load measurements on a 1.2m diameter three bladed horizontal axis tidal turbine tested in a recirculating flume","Data Payne, Gregory SStallard, TimMartinez, RodrigoBruce, Tom","2018-09-19","Laboratory testing of tidal turbine models is an essential tool to investigate hydrodynamic interactions between turbines and the flow. This dataset provides load measurements time series for a three bladed horizontal axis tidal turbine model. The rotor is 1.2m in diameter and the measurements include rotor torque, thrust, absolute angular position, streamwise root bending moments of the blades and streamwise and transverse fundation loads. The turbine was developed and tested as part of the X-MED project funded by the EPSRC (EP/ J010235/1). The dataset is associated with the article ""Payne, G. S., Stallard, T., Martinez, R., & Bruce, T. (2018). Variation of loads on a three-bladed horizontal axis tidal turbine with frequency and blade position. Journal of Fluids and Structures, 83, 156-170. https://doi.org/10.1016/j.jfluidstructs.2018.08.010 "" and the details of the turbine model can be found in 'Design and manufacture of a bed supported tidal turbine model for blade and shaft load measurement in turbulent flow and waves' by Payne, Stallard and Martinez published in 2017 in Renewable Energy (doi: https://doi.org/10.1016/j.renene.2017.01.068).","United States","Payne, Gregory S; Stallard, Tim; Martinez, Rodrigo; Bruce, Tom. (2018). Load measurements on a 1.2m diameter three bladed horizontal axis tidal turbine tested in a recirculating flume, [dataset]. University of Edinburgh. School of Engineering. Institute for Energy Systems. https://doi.org/10.7488/ds/2423",260,"RBM_meas.txt; informationregardingthedataset; RBM_TI3.txt; RBM_TI12.txt; uTI3.txt; uTI12.txt; VelVarMap.txt; vTI3.txt; vTI12.txt; YCoordinates.txt; ZCoordinates.txt; CT.txt; Figure4.txt; figure8-9_dry.txt; figure8-9_TI3.txt; figure8-9_TI12.txt; figure13.txt; figure14.txt; license_text","15.23; 3.836; 1.625; 3.25; 1.396; 1.345; 1.778; 1.371; 1.345; 256; 98; 754; 507; 4.123; 2.031; 56.87; 1.447; 57.19; 17","dataset","Edinburgh Datashare"
"3",3,"A hybrid model for seasonal forecast of Indonesian fire risk ​","Data Kim, Jin-SooMilodowski, DavidWilliams, Mathew","2020-03-20","Documentation for the dataset is provided in the README file. List of files:
1. Readme.txt
2. A hybrid model code in the NCL language (seasonalforecasting.ncl.txt)
3. Equatorial Asian monthly total burned area (ba_eqa.data)
4. Sea Surface Temperature (SST) prediction data (model_aug_l1to3.data, model_sep_l1to3.data, model_oct_l1to3.data)
5. Sea Surface Temperature (SST) prediction data (model_aug_l1to3.txt, model_sep_l1to3.txt, model_oct_l1to3.txt)","United States","Kim, Jin-Soo; Milodowski, David; Williams, Mathew. (2020). A hybrid model for seasonal forecast of Indonesian fire risk ​, [dataset]. University of Edinburgh. https://doi.org/10.7488/ds/2781.",350,"NCLcode; BinarySSTfieldsrelatedtoburnedareapredictioninSeptember; BinarySSTfieldsrelatedtoburnedareapredictioninAugust; BinarymonthlytotalburnedareaoverEquatorialAsia; BinarySSTfieldsrelatedtoburnedareapredictioninOctober; ASCIImonthlytotalburnedareaoverEquatorialAsia; ASCIISSTfieldsrelatedtoburnedareapredictioninOctober; ASCIISSTfieldsrelatedtoburnedareapredictioninSeptember; Readmefile; ASCIISSTfieldsrelatedtoburnedareapredictioninAugust; license_text","2.287; 15.63; 15.63; 864; 15.63; 1.755; 35.84; 35.07; 3.569; 36.48; 17","dataset","Edinburgh Datashare"
"4",4,"Chaotic properties of a turbulent isotropic fluid","Data Berera, ArjunHo, Richard D. J. G.","2017-04-05","By tracking the divergence of two initially close trajectories in phase space of forced turbulence,
the relation between the maximal Lyapunov exponent λ, and the Reynolds number Re is measured
using direct numerical simulations, performed on up to 2048^3 collocation points. The Lyapunov
exponent is found to solely depend on the Reynolds number with λ ∝ Re^0.53 and that after a
transient period the divergence of trajectories grows at the same rate at all scales. Finally a linear
divergence is seen that is dependent on the energy forcing rate. Links are made with other chaotic
systems.","United States","Berera, Arjun; Ho, Richard D. J. G.. (2017). Chaotic properties of a turbulent isotropic fluid, [dataset]. University of Edinburgh. School of Physics and Astronomy. https://doi.org/10.7488/ds/1993.",219,"fig1.Re1.2.stats.txt; fig1.Re152.8.stats.txt; fig1.relaminarisedstate.stats.txt; fig2.data.txt; fig4.edkgrowth.txt; fig5.data.txt; fig5.Re130.stats.txt; fig5.Re800.stats.txt; fig3.Re2500.spc.stats.txt; README.txt; license_text","1.519; 491.1; 1.072; 1.75; 1.713; 403; 1.179; 234.2; 23.37; 1.998; 17","dataset","Edinburgh Datashare"
"5",5,"SUPERSEDED - Proteomic analysis of postsynaptic proteins in regions of the human neocortex","Data Grant, SethRoy, MarciaSorokina, OksanaSkene, NathanSimonnet, ClemenceSmith, ColinArmstrong, J Douglas","2017-09-01","## This item has been replaced by the one which can be found at: https://doi.org/10.7488/ds/2789 ##","United States","Grant, Seth; Roy, Marcia; Sorokina, Oksana; Skene, Nathan; Simonnet, Clemence; Smith, Colin; Armstrong, J. Douglas. (2017). Proteomic analysis of postsynaptic proteins in regions of the human neocortex, 2013-2016 [dataset]. University of Edinburgh. Centre for Clinical Brain Sciences. https://doi.org/10.7488/ds/2128.",301,"","","dataset","Edinburgh Datashare"
"6",6,"International Stroke Trial database (superseded)","Data Sandercock, PeterNiewada, MaciejCzlonkowska, Anna","2010-09-24","## This dataset has been replaced by the one which can be found at https://doi.org/10.7488/ds/104 . ## 
The International Stroke Trial (IST) was one the biggest randomised trials in acute stroke. Methods:  Available data  on variables assessed at  randomisation, at the early outcome point (14-days after randomisation or prior discharge) and at 6-months were extracted and made publically available. Results and Conclusions: The IST provides an excellent source of primary data easy-to-use for sample size calculations and preliminary analysis necessary for planning a good quality trial.","United States","Sandercock, Peter; Niewada, Maciej; Czlonkowska, Anna. (2010). International Stroke Trial database (superseded), [dataset]. University of Edinburgh. Department of Clinical Neurosciences. https://doi.org/10.7488/ds/105.",382,"","","dataset","Edinburgh Datashare"
"7",7,"Proteomic analysis of postsynaptic proteins in regions of the human neocortex","Data Grant, SethRoy, MarciaSorokina, OksanaSkene, NathanSimonnet, ClemenceSmith, ColinArmstrong, J Douglas","2020-03-25","The postsynaptic proteome of excitatory synapses comprises ~1,000 highly conserved proteins that control the behavioral repertoire and mutations disrupting their function cause >130 brain diseases. Here, we document the composition of postsynaptic proteomes in human neocortical regions and integrate it with genetic, functional and structural magnetic resonance imaging, positron emission tomography imaging, and behavioral data. Neocortical regions show signatures of expression of individual proteins, protein complexes, biochemical and metabolic pathways. The compositional signatures in brain regions involved with language, emotion and memory functions were characterized. Integrating large-scale GWAS with regional proteome data identifies the same cortical region for smoking behavior as found with fMRI data. The neocortical postsynaptic proteome data resource can be used to link genetics to brain imaging and behavior, and to study the role of postsynaptic proteins in localization of brain functions. This dataset replaces https://datashare.is.ed.ac.uk/handle/10283/2811 .","United States","Grant, Seth; Roy, Marcia; Sorokina, Oksana; Skene, Nathan; Simonnet, Clemence; Smith, Colin; Armstrong, J Douglas. (2020). Proteomic analysis of postsynaptic proteins in regions of the human neocortex, 2013-2016 [dataset]. University of Edinburgh. Centre for Clinical Brain Sciences. https://doi.org/10.7488/ds/2789.",345,"README.txt; SupplementaryTable1_HumanBrainTissueUsedinthisStudy.xlsx; SupplementaryTable2_HumanBrainRegionsOneWayANOVA.xlsx; SupplementaryTable3_Summaryof149ProteinsDifferentiallyAbundantProteinsacrossthecortex.xlsx; SupplementaryTable4_HumanBrainRegions_NewPSDproteinsdetectedonlyinthisstudy.xlsx; SupplementaryTable5_HumanBrainRegions_Differentialstabilityanalysis_correlationbetweenindividuals.xlsx; SupplementaryTable6_HumanBrainRegions_Differentialstabilityanalysis_Enrichmentinproteinsthatcorrelate.xlsx; SupplementaryTable8_HumanBrainRegions_RankedabundanceofPSDproteinsin12neocorticalregions.xlsx; SupplementaryTable9_HumanBrainregions_proteinsthatDONOTchangebetweenbrainregions_TOSTTEST.xlsx; SupplementaryTable10_HumanBrainRegions_proteinsthatdonotchangebetweenbrainregions_Enrichment.xlsx; SupplementaryTable11_HumanBrainRegions_Differentialabundanceofkeymoleculesinvolvedincognitionandmemory.xlsx; SupplementaryTable12_HumanBrainRegions_PPMcomposition.xlsx; SupplementaryTable13_HumanBrainRegionsPaper_tfMRItermsdescriptions.xlsx; SupplementaryTable14_CorrelationbetweenMyelinValuesObtainedbyLCMSMSandGlasserParcellatedCortexstudy.xlsx; SupplementaryTable15_CorrelationofPSDproteinabundancewithGlasserfunctiondata.xlsx; SupplementaryTable16_HumanBrainRegions_SignificantCorrelationvaluesbetweentfMRIandproteinabundance.xlsx; license_text","5.509; 10.21; 1.346; 2.864; 34.77; 149.6; 11.16; 2.564; 12.91; 11.96; 18.85; 204.3; 11.13; 18.57; 358.3; 54.1; 17","dataset","Edinburgh Datashare"
"8",8,"A General Workflow for Characterization of Nernstian Dyes and Their Effects on Bacterial Physiology","Data Mancini, LeonardoTerradot, GuillaumeTian, TianPu, YingYingLi, YingXingLo, Chien-JungBai, FanPilizota, Teuta","2020-05-19","The electrical membrane potential (Vm) is one of the components of the electrochemical potential of protons across the biological membrane (proton motive force), which powers many vital cellular processes. Because Vm also plays a role in signal transduction, measuring it is of great interest. Over the years, a variety of techniques have been developed for the purpose. In bacteria, given their small size, Nernstian membrane voltage probes are arguably the favorite strategy, and their cytoplasmic accumulation depends on Vm according to the Nernst equation. However, a careful calibration of Nernstian probes that takes into account the tradeoffs between the ease with which the signal from the dye is observed and the dyes’ interactions with cellular physiology is rarely performed. Here, we use a mathematical model to understand such tradeoffs and apply the results to assess the applicability of the Thioflavin T dye as a Vm sensor in Escherichia coli. We identify the conditions in which the dye turns from a Vm probe into an actuator and, based on the model and experimental results, propose a general workflow for the characterization of Nernstian dye candidates.","United States","Mancini, Leonardo; Terradot, Guillaume; Tian, Tian; Pu, YingYing; Li, YingXing; Lo, Chien-Jung; Bai, Fan; Pilizota, Teuta. (2020). A General Workflow for Characterization of Nernstian Dyes and Their Effects on Bacterial Physiology, [dataset]. University of Edinburgh. School of Biological Sciences. https://doi.org/10.7488/ds/2825.",286,"Figures_data.xlsx; Fig3.zip; Fig4.zip; Fig5.zip; FigSI10.zip; FigSI7.zip; license_text","6.33; 402.4; 182.1; 2.397; 435.6; 27.44; 17","dataset","Edinburgh Datashare"
"9",9,"Data supporting Rubio et al on exacerbations of COPD","Data Rubio, NoahParker, Richard ADrost, Ellen MPinnock, HilaryWeir, Christopher JHanley, JanetMantoani, Leandro CMacNee, WilliamMcKinstry, BrianRabinovich, Roberto AMcCloughan, Lucy","2017-03-20","Please see the publication Rubio et al. ('Home monitoring of breathing rate in people with Chronic Obstructive Pulmonary Disease: observational study of feasibility, acceptability and change after exacerbation' International Journal of Chronic Obstructive Pulmonary Disease, vol 2017:12. DOI: 10.2147/COPD.S120706) on exacerbations of COPD (chronic obstructive pulmonary disease).","United States","Rubio, Noah; Parker, Richard A; Drost, Ellen M; Pinnock, Hilary; Weir, Christopher J; Hanley, Janet; Mantoani, Leandro C; MacNee, William; McKinstry, Brian; Rabinovich, Roberto A; McCloughan, Lucy. (2017). Data supporting Rubio et al on exacerbations of COPD, [dataset]. University of Edinburgh. https://doi.org/10.7488/ds/1981.",243,"onlinesupplement; supplementtables; phase1data; Int_J_COPD_Rubio_et_al_Phase2data.xlsx; Int_J_COPD_Rubio_et_al_Phase3data.xlsx; license_text","1.259; 21.16; 261.3; 41.62; 8.436; 17","dataset","Edinburgh Datashare"
"10",10,"Electrodrugs: An electrochemical prodrug activation strategy","Data Norman, DGonzález-Fernández, EvaClavadetscher, JessicaTucker, LuluStaderini, MatteoMount, Andrew RMurray, AlanBradley, Mark","2018-07-27","Dataset corresponding to manuscript entitled ""Electrodrugs: an electrochemical prodrug activation strategy"".","United States","Norman, Daniel; González-Fernández, Eva; Clavadetscher, Jessica; Tucker, Lulu; Staderini, Matteo; Mount, Andrew R; Murray, Alan; Bradley, Mark. (2018). Electrodrugs: An electrochemical prodrug activation strategy, 2015-2018 [dataset]. University of Edinburgh. https://doi.org/10.7488/ds/2395.",171,"DataforFigures1a,1d,1eand2b; allrawdataforfiguresinESI; ctrlptIV-green.tif; ctrlptIV-merge.tif; ctrlptIV-red.tif; ctrl-green.tif; ctrl-merge.tif; ctrl-red.tif; potctrl-green.tif; potctrl-merge.tif; potctrl-red.tif; rxn-green.tif; rxn-merge.tif; rxn-red.tif; ctrlgreen.tif; ctrlmerge.tif; ctrlptgreen.tif; ctrlptmerge.tif; ctrlptred.tif; ctrlred.tif; potctrlgreen.tif; potctrlmerge.tif; potctrlred.tif; ptctrlmerge.tif; rxngreen.tif; rxnmerge.tif; rxnred.tif; pot-ctrl.tif; pot-ctrl2.tif; PtSuc-ctrl.tif; PtSuc-ctrl2.tif; rxn-ptsuc-pot.tif; rxn-ptsuc-pot2.tif; untreated-ctrl.tif; untreated-ctrl2.tif; DNPRODRUG1195PT.zip; DNPRODRUG1HRMSANALYSIS.zip; DNPRODRUG1PROTONANDCARBON-D2O.zip; DNPRODRUG1PROTONANDCARBON-DMSO.zip; license_text","61.5; 335.8; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 3.937; 732.6; 3.937; 732.6; 3.937; 732.6; 3.937; 732.6; 1.069; 324.4; 559.9; 1.86; 17","dataset","Edinburgh Datashare"
"11",11,"eHistology Kaufman Atlas Plate 27b image h","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 27b image h.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 27b image h, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/937.",112,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 431; 393.8; 2.561; 90; 17","image","Edinburgh Datashare"
"12",12,"eHistology Kaufman Atlas Plate 35d image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 35d image d.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 35d image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1135.",127,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 429; 1.325; 2.457; 90; 17","image","Edinburgh Datashare"
"13",13,"eHistology Kaufman Atlas Plate 40i image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 40i image d.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 40i image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1291.",122,"README.txt; citation.txt; details.txt; image.jpg; terms.txt; url.txt; license_text","1.157; 529; 429; 110.8; 2.391; 90; 17","image","Edinburgh Datashare"
